id,sku,name,category,price,currency,description
1,SKU-00001,Office Item 1,office,15.49,USD,Sample description 1
2,SKU-00002,Outdoors Item 2,outdoors,13.84,USD,Sample description 2
3,SKU-00003,Books Item 3,books,35.23,USD,Sample description 3
4,SKU-00004,Electronics Item 4,electronics,363.68,USD,Sample description 4
5,SKU-00005,Tools Item 5,tools,388.35,USD,Sample description 5
6,SKU-00006,Office Item 6,office,317.89,USD,Sample description 6
7,SKU-00007,Fitness Item 7,fitness,375.36,USD,Sample description 7
8,SKU-00008,Toys Item 8,toys,153.87,USD,Sample description 8
9,SKU-00009,Fitness Item 9,fitness,191.5,USD,Sample description 9
10,SKU-00010,Tools Item 10,tools,363.55,USD,Sample description 10
11,SKU-00011,Kitchen Item 11,kitchen,238.26,USD,Sample description 11
12,SKU-00012,Toys Item 12,toys,290.74,USD,Sample description 12
13,SKU-00013,Outdoors Item 13,outdoors,142.42,USD,Sample description 13
14,SKU-00014,Fitness Item 14,fitness,391.21,USD,Sample description 14
15,SKU-00015,Electronics Item 15,electronics,195.41,USD,Sample description 15
16,SKU-00016,Books Item 16,books,32.81,USD,Sample description 16
17,SKU-00017,Kitchen Item 17,kitchen,66.19,USD,Sample description 17
18,SKU-00018,Electronics Item 18,electronics,201.78,USD,Sample description 18
19,SKU-00019,Fitness Item 19,fitness,238.64,USD,Sample description 19
20,SKU-00020,Books Item 20,books,135.94,USD,Sample description 20
21,SKU-00021,Fitness Item 21,fitness,465.11,USD,Sample description 21
22,SKU-00022,Kitchen Item 22,kitchen,124.87,USD,Sample description 22
23,SKU-00023,Toys Item 23,toys,331.7,USD,Sample description 23
24,SKU-00024,Kitchen Item 24,kitchen,361.76,USD,Sample description 24
25,SKU-00025,Toys Item 25,toys,253.12,USD,Sample description 25
26,SKU-00026,Books Item 26,books,308.82,USD,Sample description 26
27,SKU-00027,Outdoors Item 27,outdoors,143.2,USD,Sample description 27
28,SKU-00028,Office Item 28,office,37.01,USD,Sample description 28
29,SKU-00029,Fitness Item 29,fitness,90.68,USD,Sample description 29
30,SKU-00030,Tools Item 30,tools,324.2,USD,Sample description 30
31,SKU-00031,Office Item 31,office,203.51,USD,Sample description 31
32,SKU-00032,Toys Item 32,toys,440.74,USD,Sample description 32
33,SKU-00033,Office Item 33,office,416.74,USD,Sample description 33
34,SKU-00034,Outdoors Item 34,outdoors,119.68,USD,Sample description 34
35,SKU-00035,Fitness Item 35,fitness,39.55,USD,Sample description 35
36,SKU-00036,Kitchen Item 36,kitchen,76.31,USD,Sample description 36
37,SKU-00037,Kitchen Item 37,kitchen,101.38,USD,Sample description 37
38,SKU-00038,Office Item 38,office,108.28,USD,Sample description 38
39,SKU-00039,Tools Item 39,tools,102.14,USD,Sample description 39
40,SKU-00040,Fitness Item 40,fitness,465.63,USD,Sample description 40
41,SKU-00041,Toys Item 41,toys,308.47,USD,Sample description 41
42,SKU-00042,Outdoors Item 42,outdoors,289.68,USD,Sample description 42
43,SKU-00043,Kitchen Item 43,kitchen,325.61,USD,Sample description 43
44,SKU-00044,Books Item 44,books,94.62,USD,Sample description 44
45,SKU-00045,Fitness Item 45,fitness,368.42,USD,Sample description 45
46,SKU-00046,Kitchen Item 46,kitchen,428.6,USD,Sample description 46
47,SKU-00047,Books Item 47,books,123.77,USD,Sample description 47
48,SKU-00048,Toys Item 48,toys,292.04,USD,Sample description 48
49,SKU-00049,Kitchen Item 49,kitchen,135.56,USD,Sample description 49
50,SKU-00050,Outdoors Item 50,outdoors,452.83,USD,Sample description 50
51,SKU-00051,Office Item 51,office,121.88,USD,Sample description 51
52,SKU-00052,Toys Item 52,toys,220.61,USD,Sample description 52
53,SKU-00053,Electronics Item 53,electronics,366.44,USD,Sample description 53
